Rank,Movie_Name,Release_Year,Duration,Genres,Rating,Ratings_Count,Content_Rating,Description
1,The Shawshank Redemption,1994,2h 22m,Drama,9.3,2975064,A,"A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion."
2,The Godfather,1972,2h 55m,"Crime, Drama",9.2,2075430,A,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
3,The Dark Knight,2008,2h 32m,"Action, Crime, Drama",9,2955864,UA,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness."
4,The Godfather: Part II,1974,3h 22m,"Crime, Drama",9,1400487,A,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
5,12 Angry Men,1957,1h 36m,"Crime, Drama",9,898138,U,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.
6,The Lord of the Rings: The Return of the King,2003,3h 21m,"Adventure, Drama, Fantasy",9,2035942,U,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
7,Schindler's List,1993,3h 15m,"Biography, Drama, History",9,1491315,A,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
8,Pulp Fiction,1994,2h 34m,"Crime, Drama",8.9,2283488,A,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
9,The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,"Adventure, Drama, Fantasy",8.9,2065459,U,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
10,"Il Buono, Il Brutto, Il Cattivo",1966,2h 41m,"Adventure, Drama, Western",8.8,834089,A,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
11,Forrest Gump,1994,2h 22m,"Drama, Romance",8.8,2327625,UA,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart."
12,The Lord of the Rings: The Two Towers,2002,2h 59m,"Adventure, Drama, Fantasy",8.8,1835788,UA,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
13,Fight Club,1999,2h 19m,Drama,8.8,2404432,A,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
14,Inception,2010,2h 28m,"Action, Adventure, Sci-Fi",8.8,2623103,UA,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
15,Star Wars: Episode V - The Empire Strikes Back,1980,2h 4m,"Action, Adventure, Fantasy",8.7,1414318,UA,"After the Empire overpowers the Rebel Alliance, Luke Skywalker begins his Jedi training with Yoda. At the same time, Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy."
16,The Matrix,1999,2h 16m,"Action, Sci-Fi",8.7,2110942,A,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
17,GoodFellas,1990,2h 25m,"Biography, Crime, Drama",8.7,1295553,A,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito."
18,One Flew Over the Cuckoo's Nest,1975,2h 13m,Drama,8.7,1097562,A,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse."
